P	O	A	C	P	R	T	ST	WK	S	GS
cai-ps1-01	16,6666666666667	9,25925925925926	9,25925925925926	6,48148148148148	0	1,85185185185185	0	10,1851851851852	2,77777777777778	43,5185185185185
cai-ps1-02	10,1851851851852	19,4444444444444	2,77777777777778	15,7407407407407	0	1,85185185185185	0	6,48148148148148	8,33333333333333	35,1851851851852
cai-ps1-03	10,1851851851852	15,7407407407407	2,77777777777778	10,1851851851852	2,77777777777778	2,77777777777778	0	15,7407407407407	5,55555555555556	34,2592592592593
cai-ps1-04	21,2962962962963	9,25925925925926	8,33333333333333	8,33333333333333	0,925925925925926	5,55555555555556	0	15,7407407407407	6,48148148148148	24,0740740740741
cai-ps1-05	8,33333333333333	17,5925925925926	10,1851851851852	9,25925925925926	0	0,925925925925926	0,925925925925926	14,8148148148148	0,925925925925926	37,037037037037
cai-ps1-06	14,8148148148148	19,4444444444444	6,48148148148148	7,40740740740741	0	8,33333333333333	0,925925925925926	23,1481481481482	5,55555555555556	13,8888888888889
