P	O	A	C	P	R	T	ST	WK	S	GS
cai-ps1-01	19,4444444444444	8,3333333333333	13,8888888888889	2,7777777777778	0	0	0	5,5555555555556	5,5555555555556	44,4444444444444
cai-ps1-02	5,5555555555556	25	0	22,2222222222222	0	0	0	2,7777777777778	19,4444444444444	25
cai-ps1-03	19,4444444444444	16,6666666666667	0	5,5555555555556	5,5555555555556	2,7777777777778	0	13,8888888888889	11,1111111111111	25
cai-ps1-04	19,4444444444444	5,5555555555556	5,5555555555556	5,5555555555556	0	2,7777777777778	0	25	8,3333333333333	27,7777777777778
cai-ps1-05	8,3333333333333	13,8888888888889	16,6666666666667	11,1111111111111	0	2,7777777777778	0	19,4444444444444	2,7777777777778	25
cai-ps1-06	13,8888888888889	19,4444444444444	2,7777777777778	16,6666666666667	0	8,3333333333333	2,7777777777778	19,4444444444444	5,5555555555556	11,1111111111111
